| Generic Name | Targetmine URL |
|Betaxolol|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Betaxolol|
|Fluconazole|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Fluconazole|
|Troglitazone|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Troglitazone|
|Oseltamivir|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oseltamivir|
|Erythromycin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Erythromycin|
|Hydroxocobalamin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Hydroxocobalamin|
|Caffeine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Caffeine|
|Succinylcholine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Succinylcholine|
|Sildenafil|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Sildenafil|
|Dofetilide|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Dofetilide|
|Pyrimethamine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pyrimethamine|
|Reserpine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Reserpine|
|Dazoxiben|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Dazoxiben|
|Azithromycin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Azithromycin|
|Ticlopidine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ticlopidine|
|Trospium|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Trospium|
|Adapalene|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Adapalene|
|Midodrine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Midodrine|
|Remikiren|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Remikiren|
|Pantoprazole|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pantoprazole|
|Torasemide|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Torasemide|
|Citalopram|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Citalopram|
|Eletriptan|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Eletriptan|
|Bethanidine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Bethanidine|
|Moxifloxacin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Moxifloxacin|
|Oxyphenonium|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oxyphenonium|
|Nelfinavir|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Nelfinavir|
|Isoetharine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Isoetharine|
|Glimepiride|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Glimepiride|
|Gadodiamide|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Gadodiamide|
|Guanadrel Sulfate|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Guanadrel+Sulfate|
|Lovastatin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Lovastatin|
|Enflurane|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Enflurane|
|Cefotiam|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Cefotiam|
|Pregabalin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pregabalin|
|Temazepam|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Temazepam|
|Methyclothiazide|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Methyclothiazide|
|Aminosalicylic Acid|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Aminosalicylic+Acid|
|Reboxetine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Reboxetine|
|Milrinone|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Milrinone|
|Pipobroman|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pipobroman|
|Butabarbital|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Butabarbital|
|Nevirapine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Nevirapine|
|Oxiconazole|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oxiconazole|
|Alclometasone|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Alclometasone|
|Calcium Acetate|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Calcium+Acetate|
|Butalbital|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Butalbital|
|Cladribine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Cladribine|
|Ranolazine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ranolazine|
|Mesalazine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mesalazine|
|Benzatropine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Benzatropine|
|Ziprasidone|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ziprasidone|
|Methysergide|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Methysergide|
