| Gene Symbol | Targetmine URL |
|mitochondrial myopathy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=mitochondrial+myopathy|
|acute leukemia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=acute+leukemia|
|acoustic neuroma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=acoustic+neuroma|
|leiomyoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=leiomyoma|
|ataxia telangiectasia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=ataxia+telangiectasia|
|Huntington's disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Huntington's+disease|
|keratoconjunctivitis sicca|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=keratoconjunctivitis+sicca|
|pulmonary hypertension|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=pulmonary+hypertension|
|HELLP syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=HELLP+syndrome|
|hordeolum|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=hordeolum|
|crescentic glomerulonephritis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=crescentic+glomerulonephritis|
|Ehlers-Danlos syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ehlers-Danlos+syndrome|
|temporal arteritis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=temporal+arteritis|
|pulmonary sarcoidosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=pulmonary+sarcoidosis|
|tuberous sclerosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=tuberous+sclerosis|
|osteopetrosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=osteopetrosis|
|low tension glaucoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=low+tension+glaucoma|
|cholestasis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=cholestasis|
|eclampsia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=eclampsia|
|Fanconi's anemia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Fanconi's+anemia|
|epidermodysplasia verruciformis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=epidermodysplasia+verruciformis|
|familial combined hyperlipidemia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=familial+combined+hyperlipidemia|
|familial hypercholesterolemia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=familial+hypercholesterolemia|
|alcoholic liver cirrhosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=alcoholic+liver+cirrhosis|
|von Hippel-Lindau disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=von+Hippel-Lindau+disease|
|hemangioblastoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=hemangioblastoma|
|oligospermia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=oligospermia|
|Down syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Down+syndrome|
|pleural empyema|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=pleural+empyema|
|Fabry disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Fabry+disease|
|Niemann-Pick disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Niemann-Pick+disease|
|malignant peripheral nerve sheath tumor|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=malignant+peripheral+nerve+sheath+tumor|
|Clouston syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Clouston+syndrome|
|FG syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=FG+syndrome|
|hypohidrotic ectodermal dysplasia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=hypohidrotic+ectodermal+dysplasia|
|colon carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=colon+carcinoma|
|scleroderma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=scleroderma|
|diffuse scleroderma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=diffuse+scleroderma|
|rheumatic fever|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=rheumatic+fever|
|male breast cancer|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=male+breast+cancer|
|primitive neuroectodermal tumor|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=primitive+neuroectodermal+tumor|
|squamous cell carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=squamous+cell+carcinoma|
|mitral valve stenosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=mitral+valve+stenosis|
|pituitary cancer|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=pituitary+cancer|
|malignant mesothelioma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=malignant+mesothelioma|
|neuroendocrine carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=neuroendocrine+carcinoma|
|childhood absence epilepsy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=childhood+absence+epilepsy|
|malignant fibroxanthoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=malignant+fibroxanthoma|
|Angelman syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Angelman+syndrome|
|rectum cancer|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=rectum+cancer|
|hyperinsulinism|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=hyperinsulinism|
|placental choriocarcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=placental+choriocarcinoma|
|autoimmune hepatitis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=autoimmune+hepatitis|
|Thomsen disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Thomsen+disease|
|amelogenesis imperfecta|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=amelogenesis+imperfecta|
|colon adenocarcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=colon+adenocarcinoma|
|gangliosidosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=gangliosidosis|
|motor peripheral neuropathy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=motor+peripheral+neuropathy|
|infantile epileptic encephalopathy|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=infantile+epileptic+encephalopathy|
|prostate adenocarcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=prostate+adenocarcinoma|
|laryngeal carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=laryngeal+carcinoma|
|adenocarcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=adenocarcinoma|
|adenoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=adenoma|
|benign mesothelioma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=benign+mesothelioma|
|myoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=myoma|
|liver cancer|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=liver+cancer|
|bloom syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=bloom+syndrome|
|capillary hemangioma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=capillary+hemangioma|
|chorioangioma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=chorioangioma|
|endometrial adenocarcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=endometrial+adenocarcinoma|
|endometrial carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=endometrial+carcinoma|
|laryngeal squamous cell carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=laryngeal+squamous+cell+carcinoma|
|endometriosis of uterus|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=endometriosis+of+uterus|
|cervix carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=cervix+carcinoma|
|acute pancreatitis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=acute+pancreatitis|
|Chediak-Higashi syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Chediak-Higashi+syndrome|
|bronchiolitis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=bronchiolitis|
|severe acute respiratory syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=severe+acute+respiratory+syndrome|
|Cockayne syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Cockayne+syndrome|
|pleomorphic adenoma carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=pleomorphic+adenoma+carcinoma|
|breast carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=breast+carcinoma|
|Li-Fraumeni syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Li-Fraumeni+syndrome|
|mucinous adenocarcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=mucinous+adenocarcinoma|
|allergic contact dermatitis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=allergic+contact+dermatitis|
|astrocytoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=astrocytoma|
|papillary carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=papillary+carcinoma|
|serous cystadenocarcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=serous+cystadenocarcinoma|
